!MOLECULE
H2O-18       
!MOLECULAR WEIGHT
20
!NUMBER OF ENERGY LEVELS
7
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J
1 23.754900 9.000000 1 0 1
2 42.023400 9.000000 1 1 0
3 78.988700 15.000000 2 1 2
4 133.475900 15.000000 2 2 1
5 136.336700 21.000000 3 0 3
6 172.882900 21.000000 3 1 2
7 210.799300 21.000000 3 2 1
!NUMBER OF RADIATIVE TRANSITIONS
9
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
1 2 1 0.00328998442025 547.67644 60.4622522902
2 4 3 0.0291005860455 1633.4835998 192.041734439
3 3 1 0.0545648420477 1655.867627 113.64697759
4 5 3 0.0511616299045 1719.2502351 196.15787883
5 4 2 0.247665762967 2741.674772 192.041703601
6 7 3 0.320393422181 3951.5812074 303.292740516
7 6 5 0.0162130108668 1095.6273929 248.739616381
8 6 4 0.00289285021826 1181.3940281 248.739712789
9 7 6 0.021505638430175337 1136.7035794 303.292740516
!NUMBER OF COLL PARTNERS
2
! COLLISION PARTNER
3 oH2O - oH2O
! NUMBER OF COLLISIONAL TRANSITIONS
42
! NUMBER OF COLLISION TEMPERATURES
1
! COLLISION TEMPERATURES
50
! TRANS + UP + LOW + RATE COEFFS(cm^3 s^-1)
1 1 2 5.14e-9
2 1 3 5.14e-9
3 1 4 5.14e-9
4 1 5 5.14e-9
5 1 6 5.14e-9
6 1 7 5.14e-9
7 2 1 5.14e-9
8 2 3 5.14e-9
9 2 4 5.14e-9
10 2 5 5.14e-9
11 2 6 5.14e-9
12 2 7 5.14e-9
13 3 1 5.14e-9
14 3 2 5.14e-9
15 3 4 5.14e-9
16 3 5 5.14e-9
17 3 6 5.14e-9
18 3 7 5.14e-9
19 4 1 5.14e-9
20 4 2 5.14e-9
21 4 3 5.14e-9
22 4 5 5.14e-9
23 4 6 5.14e-9
24 4 7 5.14e-9
25 5 1 5.14e-9
26 5 2 5.14e-9
27 5 3 5.14e-9
28 5 4 5.14e-9
29 5 6 5.14e-9
30 5 7 5.14e-9
31 6 1 5.14e-9
32 6 2 5.14e-9
33 6 3 5.14e-9
34 6 4 5.14e-9
35 6 5 5.14e-9
36 6 7 5.14e-9
37 7 1 5.14e-9
38 7 2 5.14e-9
39 7 3 5.14e-9
40 7 4 5.14e-9
41 7 5 5.14e-9
42 7 6 5.14e-9
!COLLISIONS BETWEEN  
5  H2O - electrons from Zakharov et al (2007)
!NUMBER OF COLL TRANS
9
!NUMBER OF COLL TEMPS
5
!COLL TEMPS
50.0 2050.0 4050.0 6050.0 8050.0 
!TRANS + UP + LOW + COLLRATES(cm^3 s^-1)
1 2 1 1.674e-06 7.012e-07 5.630e-07 4.918e-07 4.457e-07
2 3 1 6.535e-07 3.354e-07 2.760e-07 2.442e-07 2.231e-07
3 4 2 5.252e-07 2.973e-07 2.480e-07 2.210e-07 2.029e-07
4 4 3 3.639e-07 1.865e-07 1.535e-07 1.358e-07 1.241e-07
5 5 3 5.365e-07 2.768e-07 2.280e-07 2.018e-07 1.844e-07
6 6 4 1.088e-07 5.203e-08 4.243e-08 3.736e-08 3.403e-08
7 6 5 8.058e-07 3.817e-07 3.109e-07 2.736e-07 2.492e-07
8 7 3 1.962e-07 1.190e-07 1.004e-07 8.993e-08 8.285e-08
9 7 6 9.184e-07 4.399e-07 3.588e-07 3.160e-07 2.878e-07
